"year","sector","maara","sector2","col","ran","decim","si","lab"
2024,"esd",29.839,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2025,"esd",29.736,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2026,"esd",29.278,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2027,"esd",28.101,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2028,"esd",27.404,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2029,"esd",26.536,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2030,"esd",25.501,"Taakanjakosektori","#4ba180",3,1,0.6,"Päästöt, Mt"
2009,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2006,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2005,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2012,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2008,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2010,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2011,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2014,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2013,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2007,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2015,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2016,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2017,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2020,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2019,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2018,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2023,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2021,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2022,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2024,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2025,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2026,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2027,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2028,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
